Topic (Required),Topic Description (Optional),"Topic Type (Optional: 0=vocab,1=grammar,2=phrases,3=script,4=misc)",Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
vocab,,0,爆炸,,explosion,,,bào zhà
vocab,,0,曝光,,light meter,,,bào guāng
vocab,,0,暴力,,violence,,,bào lì
vocab,,0,暴露,,to expose,,,bào lù
vocab,,0,悲哀,,grieved,,,bēi āi
vocab,,0,悲惨,,miserable,,,bēi cǎn
vocab,,0,卑鄙,,base,,,bēi bǐ
vocab,,0,北极,,the North Pole,,,běi jí
vocab,,0,被动,,passive,,,bèi dòng
vocab,,0,被告,,defendant,,,bèi gào
vocab,,0,背叛,,to betray,,,bèi pàn
vocab,,0,背诵,,recite,,,bèi sòng
vocab,,0,备份,,backup,,,bèi fèn
vocab,,0,备忘录,,memorandum,,,bèi wàng lù
vocab,,0,贝壳,,shell,,,bèi ké
vocab,,0,奔波,,to rush about,,,bēn bō
vocab,,0,奔驰,,to run quickly,,,bēn chí
vocab,,0,本能,,instinct,,,běn néng
vocab,,0,本钱,,capital,,,běn qián
vocab,,0,本人,,the person himself,,,běn rén
vocab,,0,本身,,itself,,,běn shēn
vocab,,0,本事,,ability,,,běn shi
vocab,,0,本着,,based on...,,,běn zhe
vocab,,0,笨拙,,clumsy,,,bèn zhuō
vocab,,0,崩溃,,to collapse,,,bēng kuì
vocab,,0,甭,,need not,,,béng
vocab,,0,蹦,,to jump,,,bèng
vocab,,0,迸发,,to burst forth,,,bèng fā
vocab,,0,逼迫,,to force,,,bī pò
vocab,,0,鼻涕,,nasal mucus,,,bí tì
vocab,,0,比方,,analogy,,,bǐ fang
vocab,,0,比喻,,to compare,,,bǐ yù
vocab,,0,比重,,proportion,,,bǐ zhòng
vocab,,0,臂,,arm,,,bì
vocab,,0,弊病,,malady,,,bì bìng
vocab,,0,弊端,,malpractice,,,bì duān
vocab,,0,必定,,be bound to,,,bì dìng
vocab,,0,闭塞,,to stop up,,,bì sè
vocab,,0,碧玉,,jasper,,,bì yù
vocab,,0,鞭策,,to spur on,,,biān cè
vocab,,0,编织,,to weave,,,biān zhī
vocab,,0,边疆,,border area,,,biān jiāng
vocab,,0,边界,,boundary,,,biān jiè
vocab,,0,边境,,frontier,,,biān jìng
vocab,,0,边缘,,edge,,,biān yuán
vocab,,0,扁,,flat,,,biǎn
vocab,,0,贬低,,to belittle,,,biǎn dī
vocab,,0,贬义,,derogatory sense,,,biǎn yì
vocab,,0,遍布,,to cover the whole (area),,,biàn bù
vocab,,0,便利,,convenient,,,biàn lì
vocab,,0,便条,,(informal) note,,,biàn tiáo
vocab,,0,便于,,easy to,,,biàn yú
vocab,,0,变故,,an unforeseen event,,,biàn gù
vocab,,0,变迁,,changes,,,biàn qiān
vocab,,0,变质,,to degenerate,,,biàn zhì
vocab,,0,辩护,,to speak in defense of,,,biàn hù
vocab,,0,辩解,,to explain,,,biàn jiě
vocab,,0,辩证,,to investigate,,,biàn zhèng
vocab,,0,辨认,,to recognize,,,biàn rèn
vocab,,0,辫子,,plait,,,biàn zi
vocab,,0,标本,,specimen,,,biāo běn
vocab,,0,标记,,sign,,,biāo jì
vocab,,0,标题,,title,,,biāo tí
vocab,,0,飙升,,to rise rapidly,,,biāo shēng
vocab,,0,表决,,to decide by vote,,,biǎo jué
vocab,,0,表态,,to declare one's position,,,biǎo tài
vocab,,0,表彰,,to honor,,,biǎo zhāng
vocab,,0,憋,,to choke,,,biē
vocab,,0,别墅,,villa,,,bié shù
vocab,,0,别致,,variant of 別緻|别致[bié zhì],,,bié zhì
vocab,,0,别扭,,awkward,,,biè niu
vocab,,0,濒临,,on the verge of,,,bīn lín
vocab,,0,冰雹,,hail,,,bīng báo
vocab,,0,并存,,to exist at the same time,,,bìng cún
vocab,,0,并非,,really isn't,,,bìng fēi
vocab,,0,并列,,to stand side by side,,,bìng liè
vocab,,0,拨打,,to call,,,bō dǎ
vocab,,0,播放,,to broadcast,,,bō fàng
vocab,,0,播种,,to sow seeds,,,bō zhǒng
vocab,,0,波浪,,wave,,,bō làng
vocab,,0,波涛汹涌,,waves surging forth,,,bō tāo xiōng yǒng
vocab,,0,剥削,,to exploit,,,bō xuē
vocab,,0,博大精深,,wide-ranging and profound,,,bó dà jīng shēn
vocab,,0,博览会,,exposition,,,bó lǎn huì
vocab,,0,搏斗,,to wrestle,,,bó dòu
vocab,,0,伯母,,wife of father's elder brother,,,bó mǔ
vocab,,0,薄弱,,weak,,,bó ruò
vocab,,0,不顾,,in spite of,,,bù gù
vocab,,0,不愧,,to be worthy of,,,bù kuì
vocab,,0,不料,,unexpectedly,,,bù liào
vocab,,0,不像话,,unreasonable,,,bù xiàng huà
vocab,,0,不屑一顾,,to disdain as beneath contempt,,,bù xiè yī gù
vocab,,0,补偿,,to compensate,,,bǔ cháng
vocab,,0,补救,,to remedy,,,bǔ jiù
vocab,,0,补贴,,to subsidize,,,bǔ tiē
vocab,,0,哺乳,,breast feeding,,,bǔ rǔ
vocab,,0,捕捉,,to catch,,,bǔ zhuō
vocab,,0,不得已,,to act against one's will,,,bù dé yǐ
vocab,,0,不妨,,there is no harm in,,,bù fáng
vocab,,0,不敢当,,lit. I dare not (accept the honor); fig. I don't deserve your praise,,,bù gǎn dāng
vocab,,0,不禁,,can't help (doing sth),,,bù jīn
vocab,,0,不堪,,cannot bear,,,bù kān
vocab,,0,不可思议,,inconceivable (idiom); unimaginable,,,bù kě sī yì
vocab,,0,不时,,from time to time,,,bù shí
vocab,,0,不惜,,not stint,,,bù xī
vocab,,0,不相上下,,equally matched,,,bù xiāng shàng xià
vocab,,0,不言而喻,,it goes without saying,,,bù yán ér yù
vocab,,0,不由得,,can't help,,,bù yóu de
vocab,,0,不择手段,,by fair means or foul,,,bù zé shǒu duàn
vocab,,0,不止,,incessantly,,,bù zhǐ
vocab,,0,布告,,posting on a bulletin board,,,bù gào
vocab,,0,布局,,arrangement,,,bù jú
vocab,,0,布置,,to put in order,,,bù zhì
vocab,,0,步伐,,pace,,,bù fá
vocab,,0,部署,,to dispose,,,bù shǔ
vocab,,0,部位,,position,,,bù wèi
vocab,,0,才干,,ability,,,cái gàn
vocab,,0,财富,,wealth,,,cái fù
vocab,,0,财务,,financial affairs,,,cái wù
vocab,,0,财政,,finances (public),,,cái zhèng
vocab,,0,裁缝,,tailor,,,cái féng
vocab,,0,裁判,,judgment,,,cái pàn
vocab,,0,裁员,,to cut staff,,,cái yuán
vocab,,0,采购,,to procure (for an enterprise etc),,,cǎi gòu
vocab,,0,采集,,to gather,,,cǎi jí
vocab,,0,采纳,,to accept,,,cǎi nà
vocab,,0,彩票,,lottery ticket,,,cǎi piào
vocab,,0,参谋,,staff officer,,,cān móu
vocab,,0,参照,,to consult a reference,,,cān zhào
vocab,,0,残酷,,cruel,,,cán kù
vocab,,0,残留,,to remain,,,cán liú
vocab,,0,残忍,,cruel,,,cán rěn
vocab,,0,灿烂,,to glitter,,,càn làn
vocab,,0,舱,,cabin,,,cāng
vocab,,0,苍白,,pale,,,cāng bái
vocab,,0,仓促,,all of a sudden,,,cāng cù
vocab,,0,仓库,,depot,,,cāng kù
vocab,,0,操劳,,to work hard,,,cāo láo
vocab,,0,操练,,drill,,,cāo liàn
vocab,,0,操纵,,to operate,,,cāo zòng
vocab,,0,操作,,to work,,,cāo zuò
vocab,,0,嘈杂,,noisy,,,cáo zá
vocab,,0,草案,,draft (legislation,,,cǎo àn
vocab,,0,草率,,careless,,,cǎo shuài
vocab,,0,策划,,to plot,,,cè huà
vocab,,0,策略,,tactics,,,cè lvè
vocab,,0,测量,,survey,,,cè liáng
vocab,,0,侧面,,lateral side,,,cè miàn
vocab,,0,层出不穷,,more and more emerge,,,céng chū bù qióng
vocab,,0,层次,,arrangement of ideas,,,céng cì
vocab,,0,差距,,disparity,,,chā jù
vocab,,0,查获,,to investigate and capture (a criminal),,,chá huò
vocab,,0,岔,,fork in road,,,chà
vocab,,0,刹那,,an instant (Sanskrit: ksana),,,chà nà
vocab,,0,诧异,,flabbergasted,,,chà yì
vocab,,0,柴油,,diesel fuel,,,chái yóu
vocab,,0,搀,,to assist by the arm,,,chān
vocab,,0,馋,,gluttonous,,,chán
vocab,,0,缠绕,,twisting,,,chán rào
vocab,,0,产业,,industry,,,chǎn yè
vocab,,0,阐述,,to expound (a position),,,chǎn shù
vocab,,0,颤抖,,to shudder,,,chàn dǒu
vocab,,0,猖狂,,savage,,,chāng kuáng
vocab,,0,昌盛,,prosperous,,,chāng shèng
vocab,,0,尝试,,to try,,,cháng shì
vocab,,0,偿还,,to repay,,,cháng huán
vocab,,0,常年,,all year round,,,cháng nián
vocab,,0,常务,,routine,,,cháng wù
vocab,,0,场合,,situation,,,chǎng hé
vocab,,0,场面,,scene,,,chǎng miàn
vocab,,0,场所,,location,,,chǎng suǒ
vocab,,0,敞开,,to open wide,,,chǎng kāi
vocab,,0,倡导,,to advocate,,,chàng dǎo
vocab,,0,倡议,,to suggest,,,chàng yì
vocab,,0,畅通,,unimpeded,,,chàng tōng
vocab,,0,畅销,,to sell well,,,chàng xiāo
vocab,,0,超级,,super-,,,chāo jí
vocab,,0,超越,,to surpass,,,chāo yuè
vocab,,0,钞票,,paper money,,,chāo piào
vocab,,0,潮流,,tide,,,cháo liú
vocab,,0,潮湿,,damp,,,cháo shī
vocab,,0,嘲笑,,to jeer at,,,cháo xiào
vocab,,0,撤退,,to retreat,,,chè tuì
vocab,,0,撤销,,to repeal,,,chè xiāo
vocab,,0,沉淀,,to settle,,,chén diàn
vocab,,0,沉闷,,oppressive (of weather),,,chén mèn
vocab,,0,沉思,,to contemplate,,,chén sī
vocab,,0,沉重,,heavy,,,chén zhòng
vocab,,0,沉着,,steady,,,chén zhuó
vocab,,0,陈旧,,old-fashioned,,,chén jiù
vocab,,0,陈列,,to display,,,chén liè
vocab,,0,陈述,,an assertion,,,chén shù
vocab,,0,称心如意,,after one's heart (idiom); gratifying and satisfactory,,,chèn xīn rú yì
vocab,,0,称号,,name,,,chēng hào
vocab,,0,盛,,to hold,,,chéng
vocab,,0,橙,,orange tree,,,chéng
vocab,,0,乘务员,,attendant on an airplane,,,chéng wù yuán
vocab,,0,承办,,to undertake,,,chéng bàn
vocab,,0,承包,,to contract,,,chéng bāo
vocab,,0,承诺,,to promise,,,chéng nuò
vocab,,0,城堡,,castle,,,chéng bǎo
vocab,,0,成本,,(manufacturing,,,chéng běn
vocab,,0,成交,,to complete a contract,,,chéng jiāo
vocab,,0,成天,,(coll.) all day long,,,chéng tiān
vocab,,0,成效,,effect,,,chéng xiào
vocab,,0,成心,,intentional,,,chéng xīn
vocab,,0,成员,,member,,,chéng yuán
vocab,,0,惩罚,,penalty,,,chéng fá
vocab,,0,诚挚,,sincere,,,chéng zhì
vocab,,0,澄清,,clear (of liquid),,,chéng qīng
vocab,,0,呈现,,to appear,,,chéng xiàn
vocab,,0,秤,,steelyard,,,chèng
vocab,,0,吃苦,,to bear,,,chī kǔ
vocab,,0,吃力,,to entail strenuous effort,,,chī lì
vocab,,0,迟缓,,slow,,,chí huǎn
vocab,,0,迟疑,,to hesitate,,,chí yí
vocab,,0,持久,,lasting,,,chí jiǔ
vocab,,0,池塘,,pool,,,chí táng
vocab,,0,赤道,,equator (of the earth or astronomical body),,,chì dào
vocab,,0,赤字,,(financial) deficit,,,chì zì
vocab,,0,冲动,,to have an urge,,,chōng dòng
vocab,,0,冲击,,an attack,,,chōng jī
vocab,,0,冲突,,conflict,,,chōng tū
vocab,,0,充当,,to serve as,,,chōng dāng
vocab,,0,充沛,,abundant,,,chōng pèi
vocab,,0,充实,,rich,,,chōng shí
vocab,,0,充足,,adequate,,,chōng zú
vocab,,0,崇拜,,to worship,,,chóng bài
vocab,,0,崇高,,majestic,,,chóng gāo
vocab,,0,崇敬,,to revere,,,chóng jìng
vocab,,0,重叠,,to overlap,,,chóng dié
vocab,,0,重阳节,,Double Ninth or Yang Festival,,,Chóng yáng jié
vocab,,0,抽空,,to find the time to do sth,,,chōu kòng
vocab,,0,筹备,,preparations,,,chóu bèi
vocab,,0,踌躇,,to hesitate,,,chóu chú
vocab,,0,稠密,,dense,,,chóu mì
vocab,,0,丑恶,,ugly,,,chǒu è
vocab,,0,出路,,a way out (of a difficulty etc),,,chū lù
vocab,,0,出卖,,to offer for sale,,,chū mài
vocab,,0,出身,,to be born of,,,chū shēn
vocab,,0,出神,,entranced,,,chū shén
vocab,,0,出息,,future prospects,,,chū xi
vocab,,0,出洋相,,to make a fool of oneself,,,chū yáng xiàng
vocab,,0,初步,,initial,,,chū bù
vocab,,0,储备,,reserves,,,chǔ bèi
vocab,,0,储存,,stockpile,,,chǔ cún
vocab,,0,储蓄,,to deposit money,,,chǔ xù
vocab,,0,处分,,to discipline sb,,,chǔ fèn
vocab,,0,处境,,plight,,,chǔ jìng
vocab,,0,处置,,to handle,,,chǔ zhì
vocab,,0,触犯,,to offend,,,chù fàn
vocab,,0,穿越,,to pass through,,,chuān yuè
vocab,,0,川流不息,,the stream flows without stopping (idiom); unending flow,,,chuān liú bù xī
vocab,,0,船舶,,shipping,,,chuán bó
vocab,,0,传达,,to pass on,,,chuán dá
vocab,,0,传单,,leaflet,,,chuán dān
vocab,,0,传授,,to impart,,,chuán shòu
vocab,,0,喘气,,to breathe deeply,,,chuǎn qì
vocab,,0,串,,to string together,,,chuàn
vocab,,0,床单,,bed sheet,,,chuáng dān
vocab,,0,创立,,to establish,,,chuàng lì
vocab,,0,创新,,innovation,,,chuàng xīn
vocab,,0,创业,,to begin an undertaking,,,chuàng yè
vocab,,0,创作,,to create,,,chuàng zuò
vocab,,0,吹牛,,to talk big,,,chuī niú
vocab,,0,吹捧,,to flatter,,,chuī pěng
vocab,,0,锤,,hammer,,,chuí
vocab,,0,垂直,,perpendicular,,,chuí zhí
vocab,,0,纯粹,,purely,,,chún cuì
vocab,,0,纯洁,,pure,,,chún jié
vocab,,0,词汇,,vocabulary,,,cí huì
vocab,,0,慈祥,,kindly,,,cí xiáng
vocab,,0,雌雄,,male and female,,,cí xióng
vocab,,0,刺,,thorn,,,cì
vocab,,0,次品,,substandard products,,,cì pǐn
vocab,,0,次序,,sequence,,,cì xù
vocab,,0,伺候,,to serve,,,cì hòu
vocab,,0,丛,,cluster,,,cóng
vocab,,0,从容不迫,,calm,,,cóng róng bù pò
vocab,,0,凑合,,to bring together,,,còu he
vocab,,0,粗鲁,,crude,,,cū lǔ
vocab,,0,窜,,to flee,,,cuàn
vocab,,0,摧残,,to ravage,,,cuī cán
vocab,,0,脆弱,,weak,,,cuì ruò
vocab,,0,搓,,to rub or roll between the hands or fingers,,,cuō
vocab,,0,磋商,,to consult,,,cuō shāng
vocab,,0,挫折,,setback,,,cuò zhé
vocab,,0,搭,,to put up,,,dā
vocab,,0,搭档,,to cooperate,,,dā dàng
vocab,,0,搭配,,to pair up,,,dā pèi
vocab,,0,答辩,,to reply (to an accusation),,,dá biàn
vocab,,0,答复,,to answer,,,dá fù
vocab,,0,达成,,to reach (an agreement),,,dá chéng
vocab,,0,打包,,to wrap,,,dǎ bāo
vocab,,0,打官司,,to file a lawsuit,,,dǎ guān si
vocab,,0,打击,,to hit,,,dǎ jī
vocab,,0,打架,,to fight,,,dǎ jià
vocab,,0,打量,,to size sb up,,,dǎ liang
vocab,,0,打猎,,to go hunting,,,dǎ liè
vocab,,0,打仗,,to fight a battle,,,dǎ zhàng
vocab,,0,大不了,,at worst,,,dà bù liǎo
vocab,,0,大臣,,chancellor (of a monarchy),,,dà chén
vocab,,0,大伙儿,,erhua variant of 大伙[dà huǒ],,,dà huǒ r
vocab,,0,大厦,,large building,,,dà shà
vocab,,0,大肆,,wantonly,,,dà sì
vocab,,0,大体,,in general,,,dà tǐ
vocab,,0,大意,,careless,,,dà yi
vocab,,0,大致,,more or less,,,dà zhì
vocab,,0,歹徒,,evil-doer,,,dǎi tú
vocab,,0,带领,,to guide,,,dài lǐng
vocab,,0,代价,,price,,,dài jià
vocab,,0,代理,,to act on behalf of sb in a responsible position,,,dài lǐ
vocab,,0,逮捕,,to arrest,,,dài bǔ
vocab,,0,怠慢,,to slight,,,dài màn
vocab,,0,担保,,to guarantee,,,dān bǎo
vocab,,0,胆怯,,timid,,,dǎn qiè
vocab,,0,淡季,,off season,,,dàn jì
vocab,,0,淡水,,potable water (water with low salt content),,,dàn shuǐ
vocab,,0,蛋白质,,protein,,,dàn bái zhì
vocab,,0,诞辰,,birthday,,,dàn chén
vocab,,0,诞生,,to be born,,,dàn shēng
vocab,,0,当场,,at the scene,,,dāng chǎng
vocab,,0,当初,,at that time,,,dāng chū
vocab,,0,当面,,to sb's face,,,dāng miàn
vocab,,0,当前,,current,,,dāng qián
vocab,,0,当事人,,persons involved or implicated,,,dāng shì rén
vocab,,0,当务之急,,top priority job,,,dāng wù zhī jí
vocab,,0,当心,,to take care,,,dāng xīn
vocab,,0,当选,,to be elected,,,dāng xuǎn
vocab,,0,党,,party,,,dǎng
vocab,,0,档案,,file,,,dàng àn
vocab,,0,档次,,grade,,,dàng cì
vocab,,0,岛屿,,island,,,dǎo yǔ
vocab,,0,倒闭,,to go bankrupt,,,dǎo bì
vocab,,0,导弹,,guided missile,,,dǎo dàn
vocab,,0,导航,,navigation,,,dǎo háng
vocab,,0,导向,,to be oriented towards,,,dǎo xiàng
vocab,,0,捣乱,,to disturb,,,dǎo luàn
vocab,,0,稻谷,,rice crops,,,dào gǔ
vocab,,0,盗窃,,to steal,,,dào qiè
vocab,,0,得不偿失,,(saying) the gains do not make up for the losses,,,dé bù cháng shī
vocab,,0,得力,,able,,,dé lì
vocab,,0,得天独厚,,(of an area) rich in resources,,,dé tiān dú hòu
vocab,,0,得罪,,to commit an offense,,,dé zuì
vocab,,0,蹬,,to step on,,,dēng
vocab,,0,灯笼,,lantern,,,dēng lóng
vocab,,0,登陆,,to land,,,dēng lù
vocab,,0,登录,,to register,,,dēng lù
vocab,,0,等级,,grade,,,děng jí
vocab,,0,瞪,,to open (one's eyes) wide,,,dèng
vocab,,0,堤坝,,dam,,,dī bà
vocab,,0,敌视,,hostile,,,dí shì
vocab,,0,抵达,,to arrive,,,dǐ dá
vocab,,0,抵抗,,to resist,,,dǐ kàng
vocab,,0,抵制,,to resist,,,dǐ zhì
vocab,,0,递增,,to increase by degrees,,,dì zēng
vocab,,0,地步,,condition,,,dì bù
vocab,,0,地势,,terrain,,,dì shì
vocab,,0,地质,,geology,,,dì zhì
vocab,,0,颠簸,,to shake,,,diān bǒ
vocab,,0,颠倒,,to turn upside-down,,,diān dǎo
vocab,,0,点缀,,to decorate,,,diǎn zhuì
vocab,,0,典礼,,celebration,,,diǎn lǐ
vocab,,0,典型,,model,,,diǎn xíng
vocab,,0,垫,,pad,,,diàn
vocab,,0,电源,,electric power source,,,diàn yuán
vocab,,0,奠定,,to establish,,,diàn dìng
vocab,,0,惦记,,to think of,,,diàn jì
vocab,,0,叼,,to hold in the mouth,,,diāo
vocab,,0,雕刻,,to carve,,,diāo kè
vocab,,0,雕塑,,a statue,,,diāo sù
vocab,,0,吊,,a string of 100 cash (arch.),,,diào
vocab,,0,调动,,to transfer,,,diào dòng
vocab,,0,跌,,to drop,,,diē
vocab,,0,盯,,to watch attentively,,,dīng
vocab,,0,叮嘱,,to warn repeatedly,,,dīng zhǔ
vocab,,0,定期,,regularly,,,dìng qī
vocab,,0,定义,,definition,,,dìng yì
vocab,,0,丢人,,to lose face,,,diū rén
vocab,,0,丢三落四,,forgetful,,,diū sān là sì
vocab,,0,东道主,,host,,,dōng dào zhǔ
vocab,,0,东张西望,,to look in all directions (idiom),,,dōng zhāng xī wàng
vocab,,0,董事长,,chairman of the board,,,dǒng shì zhǎng
vocab,,0,栋,,classifier for houses or buildings,,,dòng
vocab,,0,冻结,,to freeze (loan,,,dòng jié
vocab,,0,洞穴,,cave,,,dòng xué
vocab,,0,动荡,,unrest (social or political),,,dòng dàng
vocab,,0,动机,,motor,,,dòng jī
vocab,,0,动静,,sound of activity or people talking,,,dòng jìng
vocab,,0,动力,,power,,,dòng lì
vocab,,0,动脉,,artery,,,dòng mài
vocab,,0,动身,,to go on a journey,,,dòng shēn
vocab,,0,动手,,to set about (a task),,,dòng shǒu
vocab,,0,动态,,development,,,dòng tài
vocab,,0,动员,,to mobilize,,,dòng yuán
vocab,,0,兜,,pocket,,,dōu
vocab,,0,陡峭,,precipitous,,,dǒu qiào
vocab,,0,斗争,,a struggle,,,dòu zhēng
vocab,,0,督促,,to supervise and urge completion of a task,,,dū cù
vocab,,0,都市,,city,,,dū shì
vocab,,0,独裁,,dictatorship,,,dú cái
vocab,,0,毒品,,drugs,,,dú pǐn
vocab,,0,赌博,,to gamble,,,dǔ bó
vocab,,0,堵塞,,to block,,,dǔ sè
vocab,,0,杜绝,,to put an end to,,,dù jué
vocab,,0,端,,end,,,duān
vocab,,0,端午节,,the Dragon Boat Festival (5th day of the 5th lunar month),,,Duān wǔ jié
vocab,,0,端正,,upright,,,duān zhèng
vocab,,0,短促,,short in time,,,duǎn cù
vocab,,0,断定,,to conclude,,,duàn dìng
vocab,,0,断断续续,,intermittent,,,duàn duàn xù xù
vocab,,0,断绝,,to sever,,,duàn jué
vocab,,0,堆积,,to pile up,,,duī jī
vocab,,0,对策,,countermeasure for dealing with a situation,,,duì cè
vocab,,0,对称,,symmetry,,,duì chèn
vocab,,0,对付,,to handle,,,duì fu
vocab,,0,对抗,,to withstand,,,duì kàng
vocab,,0,对立,,to oppose,,,duì lì
vocab,,0,对联,,rhyming couplet,,,duì lián
vocab,,0,对应,,to correspond,,,duì yìng
vocab,,0,对照,,to contrast,,,duì zhào
vocab,,0,兑换,,to convert,,,duì huàn
vocab,,0,兑现,,(of a cheque etc) to cash,,,duì xiàn
vocab,,0,队伍,,ranks,,,duì wǔ
vocab,,0,顿时,,immediately,,,dùn shí
vocab,,0,多元化,,diversification,,,duō yuán huà
vocab,,0,哆嗦,,to tremble,,,duō suo
vocab,,0,堕落,,to morally degenerate,,,duò luò
vocab,,0,额外,,extra,,,é wài
vocab,,0,恶心,,bad habit,,,è xīn
vocab,,0,恶化,,to worsen,,,è huà
vocab,,0,遏制,,to check,,,è zhì
vocab,,0,恩怨,,(feeling of) resentment,,,ēn yuàn
vocab,,0,而已,,that's all,,,ér yǐ
vocab,,0,耳环,,earring,,,ěr huán
vocab,,0,二氧化碳,,carbon dioxide CO2,,,èr yǎng huà tàn
vocab,,0,发布,,to release,,,fā bù
vocab,,0,发财,,to get rich,,,fā cái
vocab,,0,发呆,,to stare blankly,,,fā dāi
vocab,,0,发动,,to start,,,fā dòng
vocab,,0,发火,,to catch fire,,,fā huǒ
vocab,,0,发觉,,to find,,,fā jué
vocab,,0,发射,,to shoot (a projectile),,,fā shè
vocab,,0,发誓,,to vow,,,fā shì
vocab,,0,发行,,to publish,,,fā xíng
vocab,,0,发炎,,to become inflamed,,,fā yán
vocab,,0,发扬,,to develop,,,fā yáng
vocab,,0,发育,,to develop,,,fā yù
vocab,,0,法人,,legal person,,,fǎ rén
vocab,,0,番,,foreign,,,fān
vocab,,0,繁华,,flourishing,,,fán huá
vocab,,0,繁忙,,busy,,,fán máng
vocab,,0,繁体字,,traditional Chinese character,,,fán tǐ zì
vocab,,0,繁殖,,to breed,,,fán zhí
vocab,,0,反驳,,to retort,,,fǎn bó
vocab,,0,反常,,unusual,,,fǎn cháng
vocab,,0,反倒,,but on the contrary,,,fǎn dào
vocab,,0,反动,,reaction,,,fǎn dòng
vocab,,0,反感,,to be disgusted with,,,fǎn gǎn
vocab,,0,反抗,,to resist,,,fǎn kàng
vocab,,0,反馈,,to send back information,,,fǎn kuì
vocab,,0,反面,,reverse side,,,fǎn miàn
